"CODDEPTO","DEPARTAMENTO","CODMPIO","MUNICIPIO","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"27","CHOCÓ","27006","ACANDÍ",,,,,,,,,,,"6","4","2","4","3.34","2.2","8.96","4.47","4.76","1.69","1.29","6.34","6.57",
"27","CHOCÓ","27025","ALTO BAUDÓ (Pie de Pató)",,,"45","12","104","7","259","391","159","489","196","268","105","135","47.87","57.97","39.17","21.62","38.75","34.09","115.75","173.93","245.07","168.78"
"27","CHOCÓ","27050","ATRATO (Yuto)",,,,,,,,,"4",,,"8","2",,,,,,,,,"1.78","1.64",
"27","CHOCÓ","27075","BAHÍA SOLANO (Mutis)",,,,,,,,,,"7",,,,,,,,,,,,,,
"27","CHOCÓ","27077","BAJO BAUDÓ  (Pizarro)",,,"177","78","332","82","353","1114","147","341","248","562","145","218","131.16","138.22","79.75","53.69","21.53","16.38","91.51","101.64","75.64","47.84"
"27","CHOCÓ","27099","BOJAYÁ (Bellavista)",,,,,,,,,,,"4","2",,,,,,,,,,,,
"27","CHOCÓ","27150","CARMEN DEL DARIÉN  (Curbaradó)",,,,,,,,,,,,"63","76","23","48.14","98.28","159.99","153.39","232.42","192.67","778.94","702.58","1035.35","1035.85"
"27","CHOCÓ","27205","CONDOTO",,,,"1","3",,"6","55","13","33","59","10","7","10","20.57","3.36","13.53","11.43","11.23","7.88","20.92","10.26","14.99","9.37"
"27","CHOCÓ","27135","EL CANTÓN DEL SAN PABLO",,,"1.35","12","48",,"25","52","63","133","68","58","29","50","47.82","34.76","11.73","5.51",,,"19.22","22.04","29.42","33.65"
"27","CHOCÓ","27250","EL LITORAL DEL SAN JUAN",,,,"1.26","1.98","3","11","102","24","60","36","144","67","120","37.98","98.35","184.52","138.36","59.41","50.94","63.54","81.93","100.76","87.44"
"27","CHOCÓ","27361","ISTMINA",,,"57","36","196","210","205","425","497","847","684","760","369","517","303.11","476.71","743.05","577.36","228.85","200.15","462.79","311.83","390.34","333.49"
"27","CHOCÓ","27372","JURADÓ",,,,,,,,,,"13","18","9","9",,,,,,,,,,,
"27","CHOCÓ","27413","LLORÓ",,,,,,,,,,"10",,"4",,,,,"1.37",,,"4.16","13.54","7.96","2.09","4.64"
"27","CHOCÓ","27425","MEDIO ATRATO (Beté)",,,,,,,,,,"4","3","4",,,,,,,,,,,,
"27","CHOCÓ","27430","MEDIO BAUDÓ (Boca de Pepé)",,,"4.23","11","68","24","77","228","254","333","352","606","177","231","134.81","68.85","64.52","43.42","36.61","39.79","161.45","170.15","315.42","345.77"
"27","CHOCÓ","27450","MEDIO SAN JUAN (Andagoya)",,,,,,,,,,,,"305","192","153","304.9","136.34","305.05","224.96","81.23","82.53","249.03","218.32","358.11","333.77"
"27","CHOCÓ","27491","NÓVITA",,,"93","30","90","237","76","215","190","249","464","165","91","53","78.94","75.26","162.33","130.29","69.32","61.85","143.69","133.92","135.52","112.16"
"27","CHOCÓ","27495","NUQUÍ",,,,"2","5","2","8","23","19","13","12","33","3","6",,,,,,,,,,
"27","CHOCÓ","27001","QUIBDÓ",,,,,"2.97","3","3","7","42","26","14","25","11","2","5.76","3.75","7.16","3.52","5.07","12.59","26.06","27.05","46.42","27.71"
"27","CHOCÓ","27580","RÍO IRÓ (Santa Rita)",,,,,,,,,,,,"12","12","13","14.05","7.9","27.68","16.33","6.48","9.86","26.31","16.46","39.71","27.12"
"27","CHOCÓ","27600","RÍO QUITO (Paimadó)",,,,"9","21",,"22","9",,"30","16","16","3","3","2.59",,,,,,"10.51","3.43","9.48","7.5"
"27","CHOCÓ","27615","RIOSUCIO","354",,,,,,,,"75","243","86","196","130","40","90.7","35.75","113.87","104.01","148.83","155.65","1036.14","1055.78","1643.64","1574.46"
"27","CHOCÓ","27660","SAN JOSÉ DEL PALMAR",,,,,,,"7","94","57","107","104","43","92","47","44.43","323.42","392.52","391.55","180.85","253.79","1040.35","1614.01","1477.67","1383.53"
"27","CHOCÓ","27745","SIPÍ",,,"76","127","150","248","28","74","122","191","130","125","106","99","91.25","217.9","258","246.96","110.08","168.38","382.06","470.09","428.57","418.79"
