Periodo,Grupo,Categoria,Actividad,Sexo,hh:mm,L.i.,L.s.,cve %
2024-09_2025-08,Regiones,Pacífica,Actividades de cuidado personal,Mujer,11:04,10:58,11:10,0.5
2024-09_2025-08,Regiones,Pacífica,Vida religiosa,Total,0:53,0:48,0:58,5.1
2024-09_2025-08,Regiones,Pacífica,Vida religiosa,Hombre,0:45,0:38,0:52,7.6
2024-09_2025-08,Regiones,Pacífica,Vida religiosa,Mujer,0:58,0:52,1:04,5.1
2024-09_2025-08,Regiones,Pacífica,Actividades conexas a las actividades personales,Total,1:34,1:22,1:46,6.3
2024-09_2025-08,Regiones,Pacífica,Actividades conexas a las actividades personales,Hombre,1:32,1:13,1:50,10.2
2024-09_2025-08,Regiones,Pacífica,Actividades conexas a las actividades personales,Mujer,1:36,1:21,1:50,7.8
2024-09_2025-08,Regiones,Bogotá,Actividades personales,Total,17:00,16:49,17:11,
2024-09_2025-08,Regiones,Bogotá,Actividades personales,Hombre,17:05,16:53,17:18,
2024-09_2025-08,Regiones,Bogotá,Actividades personales,Mujer,16:55,16:43,17:07,
2024-09_2025-08,Regiones,Bogotá,Educación y formación,Total,5:58,5:47,6:09,
2024-09_2025-08,Regiones,Bogotá,Educación y formación,Hombre,5:58,5:43,6:12,
2024-09_2025-08,Regiones,Bogotá,Educación y formación,Mujer,5:59,5:45,6:12,
2024-09_2025-08,Regiones,Bogotá,Vida social,Total,1:52,1:49,1:56,1.6
2024-09_2025-08,Regiones,Bogotá,Vida social,Hombre,1:55,1:51,1:59,1.7999999999999998
2024-09_2025-08,Regiones,Bogotá,Vida social,Mujer,1:50,1:46,1:54,1.7999999999999998
2024-09_2025-08,Regiones,Bogotá,"Vida cultural, aficiones o deporte",Total,1:40,1:36,1:44,2.0
2024-09_2025-08,Regiones,Bogotá,"Vida cultural, aficiones o deporte",Hombre,1:48,1:43,1:52,2.3
2024-09_2025-08,Regiones,Bogotá,"Vida cultural, aficiones o deporte",Mujer,1:32,1:28,1:36,2.1999999999999997
2024-09_2025-08,Regiones,Bogotá,Uso de medios de comunicación,Total,4:18,4:12,4:24,1.2
2024-09_2025-08,Regiones,Bogotá,Uso de medios de comunicación,Hombre,4:25,4:17,4:32,1.4000000000000001
2024-09_2025-08,Regiones,Bogotá,Uso de medios de comunicación,Mujer,4:12,4:06,4:18,1.2
2024-09_2025-08,Regiones,Bogotá,Actividades de cuidado personal,Total,9:49,9:45,9:53,0.3
2024-09_2025-08,Regiones,Bogotá,Actividades de cuidado personal,Hombre,9:43,9:39,9:48,0.4
2024-09_2025-08,Regiones,Bogotá,Actividades de cuidado personal,Mujer,9:54,9:49,9:58,0.4
2024-09_2025-08,Regiones,Bogotá,Vida religiosa,Total,0:47,0:45,0:50,2.7
2024-09_2025-08,Regiones,Bogotá,Vida religiosa,Hombre,0:43,0:40,0:46,3.8
2024-09_2025-08,Regiones,Bogotá,Vida religiosa,Mujer,0:50,0:47,0:52,2.6
2024-09_2025-08,Regiones,Bogotá,Actividades conexas a las actividades personales,Total,1:38,1:32,1:44,3.2
2024-09_2025-08,Regiones,Bogotá,Actividades conexas a las actividades personales,Hombre,1:41,1:33,1:50,4.3999999999999995
2024-09_2025-08,Regiones,Bogotá,Actividades conexas a las actividades personales,Mujer,1:35,1:28,1:42,3.9
2024-09_2025-08,Regiones,San Andrés,Actividades personales,Total,15:19,14:54,15:45,
2024-09_2025-08,Regiones,San Andrés,Actividades personales,Hombre,15:21,14:52,15:50,
2024-09_2025-08,Regiones,San Andrés,Actividades personales,Mujer,15:17,14:51,15:44,
2024-09_2025-08,Regiones,San Andrés,Educación y formación,Total,6:24,6:01,6:46,
2024-09_2025-08,Regiones,San Andrés,Educación y formación,Hombre,6:19,5:51,6:48,
2024-09_2025-08,Regiones,San Andrés,Educación y formación,Mujer,6:29,6:03,6:54,
2024-09_2025-08,Regiones,San Andrés,Vida social,Total,1:09,1:05,1:12,2.6
2024-09_2025-08,Regiones,San Andrés,Vida social,Hombre,1:10,1:06,1:14,3.0
2024-09_2025-08,Regiones,San Andrés,Vida social,Mujer,1:07,1:03,1:11,3.1
2024-09_2025-08,Regiones,San Andrés,"Vida cultural, aficiones o deporte",Total,1:27,1:23,1:31,2.3
2024-09_2025-08,Regiones,San Andrés,"Vida cultural, aficiones o deporte",Hombre,1:28,1:24,1:32,2.4
2024-09_2025-08,Regiones,San Andrés,"Vida cultural, aficiones o deporte",Mujer,1:25,1:20,1:31,3.2
2024-09_2025-08,Regiones,San Andrés,Uso de medios de comunicación,Total,3:11,3:03,3:19,2.1
2024-09_2025-08,Regiones,San Andrés,Uso de medios de comunicación,Hombre,3:13,3:03,3:23,2.6
2024-09_2025-08,Regiones,San Andrés,Uso de medios de comunicación,Mujer,3:09,3:01,3:18,2.1999999999999997
2024-09_2025-08,Regiones,San Andrés,Actividades de cuidado personal,Total,10:15,9:56,10:34,1.6
2024-09_2025-08,Regiones,San Andrés,Actividades de cuidado personal,Hombre,10:12,9:52,10:33,1.7000000000000002
2024-09_2025-08,Regiones,San Andrés,Actividades de cuidado personal,Mujer,10:18,9:59,10:37,1.6
2024-09_2025-08,Regiones,San Andrés,Vida religiosa,Total,0:25,0:21,0:28,7.3
