"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
2018,"Women","Colombia","COL",0.025207491496560028,0.019062445899164775,0.032281985819775656,0.27648414289135187,0.25416254968973273,0.30002424925815135,0.04158532465392419,0.03424521781849789,0.049678552565622786,0.303573323050522,0.2800466653196089,0.32728214590018045,0.3531497159076419,0.3285969721641181,0.37761961718328974,0.18662330707330002,0.16575962008748135,0.20845337213465476,0.062046242869625526,0.0506572015807977,0.0743068461083449,0.027814592948426305,0.02052917032638457,0.036265383197496934
2019,"Women","Colombia","COL",0.024775061540339625,0.018126092574278486,0.03270008988925298,0.28321137651099737,0.2580148291682452,0.30956719223485607,0.04136171186064277,0.033169736101561036,0.05036158568597424,0.2985689857176221,0.27269357299728186,0.32505162572009666,0.35208286237039815,0.32461357748244785,0.3793943479631844,0.18950216215327106,0.16616397833501467,0.21426737654562647,0.064030420239806915,0.051355338658289965,0.07812652984156604,0.0296787941179194,0.021365822204025445,0.03970619122443298
2020,"Women","Colombia","COL",0.024360484681402818,0.01717494567865741,0.03306792769131046,0.2899311598335962,0.2616578370921432,0.3201206717680655,0.041179249235723824,0.03228725274034162,0.05110781477012309,0.2936639191051781,0.2650532258808724,0.32375817192964523,0.35086518514409903,0.32009747826188056,0.3813935508576302,0.19225700172374652,0.16586202728387828,0.22038132811690203,0.06602481155708737,0.05155432613090848,0.08205324432394415,0.03164934655276231,0.022109857133113846,0.043349043970857176
2021,"Women","Colombia","COL",0.023961387274138414,0.016184566314733854,0.03360680586299462,0.29668446845232455,0.2648166923694697,0.33077007362820987,0.041032258098272656,0.03131407140371115,0.05214384005811643,0.28878624414167503,0.25702558947535403,0.3219356937964747,0.34953564003358933,0.3150032945448581,0.3838092914036297,0.1949216888544308,0.16488694619668448,0.22686104131137388,0.06803311961028635,0.051761345486433546,0.08616456924474493,0.03372965998760739,0.022694292763408237,0.04795626533455789
2022,"Women","Colombia","COL",0.023577136445884238,0.015290050069170174,0.03424466890878724,0.303508676287789,0.26693180311057135,0.34239234743472124,0.04090608555963542,0.030310528295957245,0.053226407196894,0.2839270967459861,0.24844005739449507,0.32102567162579887,0.34808100296070527,0.3095321121477778,0.38732490409954495,0.19750290136080398,0.16372505295434298,0.23397637576653604,0.07007531027757338,0.05173872359654196,0.09040487583081544,0.03593046464941161,0.023037431658445465,0.05299031716799323
2023,"Women","Colombia","COL",0.023204282247565412,0.014336558464425098,0.03498055644858835,0.3104470946877725,0.26899695416837427,0.3537955397266177,0.040781101485820245,0.02923155902372397,0.05455405427575562,0.27903287071393096,0.24005567083965612,0.32010095015743717,0.34653464886491087,0.30376332423398955,0.39018779713626534,0.20001979706436315,0.16217744752264396,0.241205451845332,0.07215511001812878,0.0515034417720296,0.09542464896978524,0.038272187605280575,0.02340198178273024,0.05860801784193593
2024,"Women","Colombia","COL",0.02284729223400263,0.013376954858331711,0.035817332160435984,0.3175339818796601,0.2713431128582486,0.3662428647203292,0.040657170014272964,0.027959852752840072,0.05597775023096013,0.2741028289217369,0.23149402553975792,0.3197186129097494,0.3448587249503275,0.29775346150572934,0.3925920934389483,0.20250727130554605,0.16021346128393288,0.2484385342878612,0.07427591997049122,0.05108298582499018,0.10035288038661155,0.04075079060362279,0.023742454121454017,0.06446207402316792
1980,"Men","Colombia","COL",0.10501994270527679,0.04713131344719448,0.1853038090926642,0.025888227652486592,0.00969493481833623,0.052468297200726315,0.11038751526628122,0.05379179694584904,0.18213066559086993,0.5996703601190608,0.4968336544854679,0.6948816449981059,0.15903395225689457,0.08868432009900715,0.24249664548564506,0.022061552164219445,0.006708095461045835,0.048748059284627804,0.0029318896018106673,3.843865266108824e-4,0.009886234893441936,8.94785886456471e-4,8.559248218210519e-5,0.0033468670793224365
1981,"Men","Colombia","COL",0.10078294619946443,0.04720193736842629,0.1742943359045553,0.027284571244564314,0.010974501044744324,0.05313082712623978,0.10940924401121804,0.05648789080065348,0.17594866568380843,0.5975002516448031,0.5001696848273698,0.6883754011848928,0.1650229848999501,0.09655097760350972,0.24362381197422592,0.023325312410086646,0.007818764251450483,0.04917679090187983,0.003049463275566466,4.707670268568896e-4,0.009679697010581741,9.097955589112049e-4,1.0991576373576328e-4,0.003184367040372818
1982,"Men","Colombia","COL",0.09665318801639139,0.046934772430563064,0.16456878093338317,0.028787587981448384,0.012479051006073055,0.05399496457555274,0.10843525187964129,0.05800938947802976,0.17141951928043234,0.594916271454891,0.5034224491613101,0.6805498639258203,0.17120769866762797,0.10510471964171508,0.24631094543021148,0.024674482325551087,0.00905768812635266,0.049598267772301065,0.0031830257209513823,5.683820816694055e-4,0.00938996040979343,9.300799349459174e-4,1.3902458006665057e-4,0.0030359503633146036
