"FECHA","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","GRUPO"
"2022 Aug 31 12:00:00 AM","19","CAUCA","19110","BUENOS AIRES","GAOR"
"2022 Aug 31 12:00:00 AM","52","NARIÑO","52356","IPIALES","GAOR"
"2022 Aug 31 12:00:00 AM","52","NARIÑO","52356","IPIALES","GAOR"
"2022 Aug 31 12:00:00 AM","81","ARAUCA","81001","ARAUCA","GAOR"
"2022 Aug 31 12:00:00 AM","41","HUILA","41298","GARZON","GAOR"
"2022 Aug 31 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","GAOR"
"2022 Aug 31 12:00:00 AM","54","NORTE DE SANTANDER","54001","CUCUTA","GAOR"
"2022 Sep 01 12:00:00 AM","76","VALLE DEL CAUCA","76001","CALI","GAOR"
"2022 Sep 01 12:00:00 AM","76","VALLE DEL CAUCA","76001","CALI","GAOR"
"2022 Sep 01 12:00:00 AM","76","VALLE DEL CAUCA","76001","CALI","GAOR"
"2022 Sep 01 12:00:00 AM","76","VALLE DEL CAUCA","76001","CALI","GAOR"
"2022 Sep 01 12:00:00 AM","76","VALLE DEL CAUCA","76001","CALI","GAOR"
"2022 Sep 01 12:00:00 AM","76","VALLE DEL CAUCA","76001","CALI","GAOR"
"2022 Sep 01 12:00:00 AM","68","SANTANDER","68755","SOCORRO","GAOR"
"2022 Sep 01 12:00:00 AM","19","CAUCA","19001","POPAYAN","GAOR"
"2022 Sep 02 12:00:00 AM","41","HUILA","41001","NEIVA","GAOR"
"2022 Sep 02 12:00:00 AM","41","HUILA","41001","NEIVA","GAOR"
"2022 Sep 02 12:00:00 AM","41","HUILA","41020","ALGECIRAS","GAOR"
"2022 Sep 02 12:00:00 AM","85","CASANARE","85001","YOPAL","CLAN DEL GOLFO"
"2022 Sep 05 12:00:00 AM","95","GUAVIARE","95200","MIRAFLORES","GAOR"
"2022 Sep 05 12:00:00 AM","05","ANTIOQUIA","05034","ANDES","CLAN DEL GOLFO"
"2022 Sep 05 12:00:00 AM","85","CASANARE","85250","PAZ DE ARIPORO","GAOR"
"2022 Sep 06 12:00:00 AM","18","CAQUETA","18001","FLORENCIA","GAOR"
"2022 Sep 06 12:00:00 AM","27","CHOCO","27099","BOJAYA","CLAN DEL GOLFO"
"2022 Sep 07 12:00:00 AM","73","TOLIMA","73349","HONDA","GAOR"
"2022 Sep 07 12:00:00 AM","27","CHOCO","27077","BAJO BAUDO","CLAN DEL GOLFO"
"2022 Sep 08 12:00:00 AM","05","ANTIOQUIA","05490","NECOCLI","CLAN DEL GOLFO"
"2022 Sep 08 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","GAOR"
"2022 Sep 08 12:00:00 AM","05","ANTIOQUIA","05490","NECOCLI","CLAN DEL GOLFO"
"2022 Sep 08 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","GAOR"
"2022 Sep 09 12:00:00 AM","11","BOGOTA D.C.","11001","BOGOTA D.C.","GAOR"
"2022 Sep 12 12:00:00 AM","19","CAUCA","19001","POPAYAN","GAOR"
"2022 Sep 12 12:00:00 AM","19","CAUCA","19256","EL TAMBO","GAOR"
"2022 Sep 12 12:00:00 AM","19","CAUCA","19256","EL TAMBO","GAOR"
"2022 Sep 13 12:00:00 AM","76","VALLE DEL CAUCA","76001","CALI","GAOR"
"2022 Sep 13 12:00:00 AM","13","BOLIVAR","13688","SANTA ROSA DEL SUR","CLAN DEL GOLFO"
"2022 Sep 15 12:00:00 AM","76","VALLE DEL CAUCA","76001","CALI","GAOR"
"2022 Sep 15 12:00:00 AM","68","SANTANDER","68081","BARRANCABERMEJA","GAOR"
"2022 Sep 19 12:00:00 AM","18","CAQUETA","18001","FLORENCIA","GAOR"
"2022 Sep 19 12:00:00 AM","05","ANTIOQUIA","05658","SAN JOSE DE LA MONTAÑA","CLAN DEL GOLFO"
"2022 Sep 19 12:00:00 AM","97","VAUPES","97001","MITU","GAOR"
"2022 Sep 19 12:00:00 AM","18","CAQUETA","18001","FLORENCIA","GAOR"
"2022 Sep 19 12:00:00 AM","76","VALLE DEL CAUCA","76109","BUENAVENTURA","CLAN DEL GOLFO"
