"iso","alert__year","alert__week","alert__count","confidence__cat"
"COL",2026,9,504,"h"
"COL",2018,3,87,"h"
"COL",2022,13,69,"h"
"COL",2020,39,13,"h"
"COL",2015,23,13,"h"
"COL",2014,9,180,"h"
"COL",2026,11,113,"h"
"COL",2025,27,3,"h"
"COL",2014,32,29,"h"
"COL",2016,28,9,"h"
"COL",2013,1,173,"h"
"COL",2021,25,2,"h"
"COL",2015,8,605,"h"
"COL",2014,4,459,"h"
"COL",2019,9,1532,"h"
"COL",2016,29,15,"h"
"COL",2018,46,10,"h"
"COL",2016,20,13,"h"
"COL",2021,38,23,"h"
"COL",2017,38,32,"h"
"COL",2018,12,436,"h"
"COL",2012,23,10,"h"
"COL",2024,40,26,"h"
"COL",2018,11,359,"h"
"COL",2019,50,16,"h"
"COL",2013,36,26,"h"
"COL",2014,52,85,"h"
"COL",2014,21,18,"h"
"COL",2014,17,15,"h"
"COL",2019,37,39,"h"
"COL",2025,10,160,"h"
"COL",2019,34,75,"h"
"COL",2012,3,129,"h"
"COL",2023,10,86,"h"
"COL",2017,11,430,"h"
"COL",2015,15,33,"h"
"COL",2015,21,5,"h"
"COL",2021,18,9,"h"
"COL",2023,15,79,"h"
"COL",2017,7,729,"h"
"COL",2024,6,32,"h"
"COL",2026,24,6,"h"
"COL",2021,27,20,"h"
"COL",2019,2,130,"h"
"COL",2023,44,5,"h"
"COL",2025,15,13,"h"
"COL",2025,32,19,"h"
"COL",2023,7,337,"h"
"COL",2024,23,1,"h"
"COL",2025,40,14,"h"
"COL",2026,34,26,"h"
"COL",2020,52,38,"h"
"COL",2017,6,401,"h"
"COL",2018,52,158,"h"
"COL",2015,4,43,"h"
"COL",2018,9,409,"h"
"COL",2022,27,18,"h"
"COL",2017,21,11,"h"
"COL",2022,15,48,"h"
"COL",2023,26,8,"h"
"COL",2023,50,18,"h"
"COL",2015,35,95,"h"
"COL",2017,45,9,"h"
"COL",2022,3,106,"h"
