Ambito,Codigo,Tipo,Concepto,Partido,Votos,Porcentaje
CASANARE,85,Escrutinio,Votos en blanco,,3905,1.78
CASANARE,85,Escrutinio,Votos nulos,,3063,1.37
CASANARE,85,Escrutinio,No marcados,,498,0.22
CASANARE,85,Escrutinio,Abstención,,106270,32.32
CAUCA,19,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,462794,68.33
CAUCA,19,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,131175,19.37
CAUCA,19,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,40343,5.95
CAUCA,19,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,12037,1.77
CAUCA,19,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,5177,0.76
CAUCA,19,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,3988,0.58
CAUCA,19,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1256,0.18
CAUCA,19,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,1220,0.18
CAUCA,19,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",822,0.12
CAUCA,19,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,741,0.1
CAUCA,19,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,559,0.08
CAUCA,19,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,402,0.05
CAUCA,19,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,256,0.03
CAUCA,19,Escrutinio,Votos en blanco,,16433,2.42
CAUCA,19,Escrutinio,Votos nulos,,15568,2.23
CAUCA,19,Escrutinio,No marcados,,4058,0.58
CAUCA,19,Escrutinio,Abstención,,379146,35.23
CESAR,20,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,224457,46.48
CESAR,20,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,223840,46.35
CESAR,20,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,11898,2.46
CESAR,20,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,8174,1.69
CESAR,20,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,4033,0.83
CESAR,20,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,1132,0.23
CESAR,20,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,908,0.18
